Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;ValueRangeMin;ValueRangeMax;ValueRangeLock;Marker;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr.Cpu;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr.Cpu;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr.Cpu;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes;Fieldvalues.Values;AxisX.Values;AxisY.Values
Conversion relative Fuel mass rk in effective Injection time te;KRKATE;MAP 1;eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;6;0;0;0;65535;0;0;;ms/%;0.000010416667;0;$1D9356;$1D9356;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;$0;eByte;0x-1;0;0.030000;;
Lambda driver's wish;LAMFA_0_A;MAP 1;eZweiInv;eViewText;eBars;eByte;0;0;0;0;0;0;6;15;10;;5;0;0;0.8125;1;0;0;;-;0.0078125;0;$1D7D52;$1D7D52;Engine speed;;1/min;40;0;10;0;0;0;1;eRom;2;$1D7D36;$1D7D36;eByte;0x-1;0;relative Driver input torque From FGR and Pedal;;%;0.003051757812;0;10;0;0;0;4;eRom;1;$1D7D46;$1D7D46;eHiLo;0x-1;0;1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 0.96875 0.90625 1.00000 1.00000 1.00000 0.93750 0.91406 0.90625 1.00000 1.00000 0.95312 0.92969 0.91406 0.90625 1.00000 1.00000 0.92969 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625;800.0 1000.0 1240.0 1520.0 1760.0 2000.0 2240.0 2520.0 3000.0 4000.0 4520.0 5000.0 5520.0 6000.0 6520.0;55.0018 60.0006 80.0018 90.0024 98.0011 100.0000
Lambda driver's wish;LAMFA_1_A;MAP 2;eZweiInv;eViewText;eBars;eByte;0;0;0;0;0;0;6;15;10;;5;0;0;0.8125;1;0;0;;-;0.0078125;0;$1D7DCA;$1D7DCA;Engine speed;;1/min;40;0;10;0;0;0;1;eRom;2;$1D7DAE;$1D7DAE;eByte;0x-1;0;relative Driver input torque From FGR and Pedal;;%;0.003051757812;0;10;0;0;0;4;eRom;1;$1D7DBE;$1D7DBE;eHiLo;0x-1;0;1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 0.96875 0.90625 1.00000 1.00000 1.00000 0.93750 0.91406 0.90625 1.00000 1.00000 0.95312 0.92969 0.91406 0.90625 1.00000 1.00000 0.92969 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625;800.0 1000.0 1240.0 1520.0 1760.0 2000.0 2240.0 2520.0 3000.0 4000.0 4520.0 5000.0 5520.0 6000.0 6520.0;55.0018 60.0006 80.0018 90.0024 98.0011 100.0000
Lambda driver's wish;LAMFA_2_A;MAP 3;eZweiInv;eViewText;eBars;eByte;0;0;0;0;0;0;6;15;10;;5;0;0;0.8046875;1;0;0;;-;0.0078125;0;$1D7E42;$1D7E42;Engine speed;;1/min;40;0;10;0;0;0;1;eRom;2;$1D7E26;$1D7E26;eByte;0x-1;0;relative Driver input torque From FGR and Pedal;;%;0.003051757812;0;10;0;0;0;4;eRom;1;$1D7E36;$1D7E36;eHiLo;0x-1;0;1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 1.00000 0.90625 1.00000 1.00000 1.00000 1.00000 0.96875 0.90625 1.00000 1.00000 1.00000 0.93750 0.91406 0.90625 1.00000 1.00000 0.95312 0.92969 0.91406 0.90625 1.00000 1.00000 0.92969 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625 1.00000 0.90625 0.90625 0.90625 0.90625 0.90625;800.0 1000.0 1240.0 1520.0 1760.0 2000.0 2240.0 2520.0 3000.0 4000.0 4520.0 5000.0 5520.0 6000.0 6520.0;55.0018 60.0006 80.0018 90.0024 98.0011 100.0000
KF to Linearization Boost pressure=f(TV);KFLDRL;MAP 1;eZweiInv;eViewText;eBars;eHiLo;0;1;0;0;0;0;10;16;10;;4;0;0;0;95;0;0;;%;0.005;0;$1CFFBC;$1CFFBC;Engine speed;;1/min;0.25;0;10;0;0;0;3;eRom;0;$1CAD18;$1CAD18;eHiLo;0x-1;0;LDR Duty cycle From Rules;;%;0.005;0;10;0;0;1;4;eRom;0;$1D03DA;$1D03DA;eHiLo;0x-1;0;0.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 30.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 26.0000 34.0000 44.0000 53.0000 63.0000 95.0000 95.0000 95.0000 0.0000 20.0000 26.0000 34.0000 44.0000 53.0000 63.0000 85.0000 95.0000 95.0000 0.0000 20.0000 26.0000 37.0000 47.0000 56.0000 66.0000 80.0000 95.0000 95.0000 0.0000 20.0000 26.0000 38.0000 50.0000 58.0000 67.0000 75.0000 85.0000 95.0000 0.0000 20.0000 26.0000 38.0000 50.0000 58.0000 67.0000 74.0000 82.0000 95.0000 0.0000 20.0000 23.0000 38.0000 50.0000 59.0000 67.0000 74.0000 82.0000 95.0000 0.0000 20.0000 25.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 25.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000;1000.000 1250.000 1500.000 1750.000 2000.000 2250.000 2500.000 2750.000 3000.000 3500.000 4000.000 4500.000 5000.000 5500.000 6000.000 6500.000;0.0000 20.0000 30.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000
Timing map;KFZW_0_A;MAP 1;eZweiInv;eViewText;eBars;eByte;0;1;0;0;0;0;12;16;10;;3;0;0;-15.75;38.25;0;0;;Grad KW;0.75;0;$1C8B18;$1C8B18;Engine speed;;1/min;0.25;0;10;0;0;0;3;eRom;0;$1CAD5C;$1CAD5C;eHiLo;0x-1;0;Relative Air charge (Word);;%;0.0234375;0;10;0;0;0;4;eRom;0;$1CADBA;$1CADBA;eHiLo;0x-1;0;20.250 20.250 10.500 3.750 -2.250 -12.750 -14.250 -15.000 -15.750 -17.250 -18.000 -18.750 21.000 21.000 16.500 11.250 6.000 -1.500 -10.500 -11.250 -13.500 -15.000 -15.750 -16.500 22.500 22.500 22.500 16.500 14.250 10.500 -5.250 -9.000 -10.500 -12.750 -14.250 -15.000 26.250 26.250 26.250 22.500 19.500 18.750 6.750 -3.750 -6.750 -9.000 -11.250 -12.750 33.750 33.750 30.750 26.250 22.500 21.750 16.500 2.250 -0.750 -6.750 -8.250 -9.750 35.250 35.250 31.500 28.500 24.000 23.250 19.500 15.000 3.000 -0.750 -6.000 -7.500 36.000 36.000 32.250 30.750 25.500 24.750 21.750 17.250 5.250 1.500 -4.500 -6.000 37.500 37.500 34.500 32.250 28.500 27.000 23.250 17.250 10.500 3.750 0.000 -4.500 38.250 38.250 36.000 33.750 31.500 26.250 23.250 18.750 12.750 6.750 3.000 -1.500 33.750 33.750 33.000 30.750 30.000 27.750 24.000 19.500 13.500 9.750 6.750 3.000 33.750 33.750 33.000 30.000 28.500 27.000 23.250 19.500 15.750 11.250 7.500 4.500 33.750 33.750 33.000 30.750 28.500 25.500 23.250 20.250 17.250 13.500 9.750 6.750 33.000 33.000 33.000 29.250 27.000 25.500 23.250 21.000 17.250 14.250 11.250 8.250 33.000 33.000 33.000 30.000 27.000 25.500 23.250 21.000 18.000 15.000 12.000 9.000 33.000 33.000 34.500 30.000 27.750 26.250 24.000 21.750 19.500 16.500 13.500 10.500 33.000 33.000 36.000 31.500 29.250 27.750 25.500 24.000 21.750 18.750 15.000 12.000;500.000 700.000 1000.000 1500.000 1750.000 2000.000 2250.000 2500.000 3000.000 3500.000 4000.000 4500.000 5000.000 5500.000 6000.000 6500.000;10.0078 20.0156 35.0156 50.0156 65.0156 80.0156 95.0156 110.0156 130.0078 150.0000 170.0156 190.0078
Timing map;KFZW_1_A;MAP 2;eZweiInv;eViewText;eBars;eByte;0;1;0;0;0;0;12;16;10;;3;0;0;-15.75;38.25;0;0;;Grad KW;0.75;0;$1C8BD8;$1C8BD8;Engine speed;;1/min;0.25;0;10;0;0;0;3;eRom;0;$1CAD5C;$1CAD5C;eHiLo;0x-1;0;Relative Air charge (Word);;%;0.0234375;0;10;0;0;0;4;eRom;0;$1CADBA;$1CADBA;eHiLo;0x-1;0;20.250 20.250 10.500 3.750 -2.250 -12.750 -14.250 -15.000 -15.750 -17.250 -18.000 -18.750 21.000 21.000 16.500 11.250 6.000 -1.500 -10.500 -11.250 -13.500 -15.000 -15.750 -16.500 22.500 22.500 22.500 16.500 14.250 10.500 -5.250 -9.000 -10.500 -12.750 -14.250 -15.000 26.250 26.250 26.250 22.500 19.500 18.750 6.750 -3.750 -6.750 -9.000 -11.250 -12.750 33.750 33.750 30.750 26.250 22.500 21.750 16.500 2.250 -0.750 -6.750 -8.250 -9.750 35.250 35.250 31.500 28.500 24.000 23.250 19.500 15.000 3.000 -0.750 -6.000 -7.500 36.000 36.000 32.250 30.750 25.500 24.750 21.750 17.250 5.250 1.500 -4.500 -6.000 37.500 37.500 34.500 32.250 28.500 27.000 23.250 17.250 10.500 3.750 0.000 -4.500 38.250 38.250 36.000 33.750 31.500 26.250 23.250 18.750 12.750 6.750 3.000 -1.500 33.750 33.750 33.000 30.750 30.000 27.750 24.000 19.500 13.500 9.750 6.750 3.000 33.750 33.750 33.000 30.000 28.500 27.000 23.250 19.500 15.750 11.250 7.500 4.500 33.750 33.750 33.000 30.750 28.500 25.500 23.250 20.250 17.250 13.500 9.750 6.750 33.000 33.000 33.000 29.250 27.000 25.500 23.250 21.000 17.250 14.250 11.250 8.250 33.000 33.000 33.000 30.000 27.000 25.500 23.250 21.000 18.000 15.000 12.000 9.000 33.000 33.000 34.500 30.000 27.750 26.250 24.000 21.750 19.500 16.500 13.500 10.500 33.000 33.000 36.000 31.500 29.250 27.750 25.500 24.000 21.750 18.750 15.000 12.000;500.000 700.000 1000.000 1500.000 1750.000 2000.000 2250.000 2500.000 3000.000 3500.000 4000.000 4500.000 5000.000 5500.000 6000.000 6500.000;10.0078 20.0156 35.0156 50.0156 65.0156 80.0156 95.0156 110.0156 130.0078 150.0000 170.0156 190.0078
KF to Linearization Boost pressure=f(TV);KFLDRL;MAP 2;eZweiInv;eViewText;eBars;eHiLo;0;1;0;0;0;0;10;16;10;;4;0;0;0;95;0;0;;%;0.005;0;$1E8488;$1E8488;Engine speed;;1/min;0.25;0;10;0;0;0;3;eRom;0;$1CAD18;$1CAD18;eHiLo;0x-1;0;LDR Duty cycle From Rules;;%;0.005;0;10;0;0;1;4;eRom;0;$1D03DA;$1D03DA;eHiLo;0x-1;0;0.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 30.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 26.0000 34.0000 44.0000 53.0000 63.0000 95.0000 95.0000 95.0000 0.0000 20.0000 26.0000 34.0000 44.0000 53.0000 63.0000 85.0000 95.0000 95.0000 0.0000 20.0000 26.0000 37.0000 47.0000 56.0000 66.0000 79.9950 95.0000 95.0000 0.0000 20.0000 26.0000 38.0000 50.0000 58.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 26.0000 38.0000 50.0000 58.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 23.0000 38.0000 50.0000 59.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 25.0000 40.0000 50.0000 60.0000 70.0000 79.9950 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 25.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000;1000.000 1250.000 1500.000 1750.000 2000.000 2250.000 2500.000 2750.000 3000.000 3500.000 4000.000 4500.000 5000.000 5500.000 6000.000 6500.000;0.0000 20.0000 30.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000
KF to Linearization Boost pressure=f(TV);KFLDRL;MAP 3;eZweiInv;eViewText;eBars;eHiLo;0;1;0;0;0;0;10;16;10;;4;0;0;0;95;0;0;;%;0.005;0;$1E85C8;$1E85C8;Engine speed;;1/min;0.25;0;10;0;0;0;3;eRom;0;$1CAFEA;$1CAFEA;eHiLo;0x-1;0;LDR Duty cycle From Rules;;%;0.005;0;10;0;0;1;4;eRom;0;$1D03DA;$1D03DA;eHiLo;0x-1;0;0.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 30.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 26.0000 34.0000 44.0000 53.0000 63.0000 95.0000 95.0000 95.0000 0.0000 20.0000 26.0000 34.0000 44.0000 53.0000 63.0000 85.0000 95.0000 95.0000 0.0000 20.0000 26.0000 37.0000 47.0000 56.0000 66.0000 79.9950 95.0000 95.0000 0.0000 20.0000 26.0000 38.0000 50.0000 58.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 26.0000 38.0000 50.0000 58.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 23.0000 38.0000 50.0000 59.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 25.0000 40.0000 50.0000 60.0000 70.0000 79.9950 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 25.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000;192.500 128.500 129.000 257.000 192.500 128.500 129.000 257.000 192.500 128.500 128.750 128.000 3.000 40.000 3808.000 2160.000;0.0000 20.0000 30.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000
KF to Linearization Boost pressure=f(TV);KFLDRL;MAP 4;eZweiInv;eViewText;eBars;eHiLo;0;1;0;0;0;0;10;16;10;;4;0;0;0;95;0;0;;%;0.005;0;$1E8708;$1E8708;Engine speed;;1/min;0.25;0;10;0;0;0;3;eRom;0;$1CB1A8;$1CB1A8;eHiLo;0x-1;0;LDR Duty cycle From Rules;;%;0.005;0;10;0;0;1;4;eRom;0;$1D03DA;$1D03DA;eHiLo;0x-1;0;0.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 30.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 95.0000 0.0000 20.0000 26.0000 34.0000 44.0000 53.0000 63.0000 95.0000 95.0000 95.0000 0.0000 20.0000 26.0000 34.0000 44.0000 53.0000 63.0000 85.0000 95.0000 95.0000 0.0000 20.0000 26.0000 37.0000 47.0000 56.0000 66.0000 79.9950 95.0000 95.0000 0.0000 20.0000 26.0000 38.0000 50.0000 58.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 26.0000 38.0000 50.0000 58.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 23.0000 38.0000 50.0000 59.0000 67.0000 79.9950 90.0000 95.0000 0.0000 20.0000 25.0000 40.0000 50.0000 60.0000 70.0000 79.9950 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 27.0000 40.0000 50.0000 60.0000 73.0000 84.0000 90.0000 95.0000 0.0000 20.0000 25.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000;12288.000 12288.000 12288.000 3145.500 1573.500 1573.500 1573.500 1573.500 8160.000 6400.000 6400.000 7680.000 8160.000 8160.000 8160.000 8160.000;0.0000 20.0000 30.0000 40.0000 50.0000 60.0000 70.0000 80.0000 90.0000 95.0000
