RAM Address (Nr),Variable Name,Description (Original German),Description (Translated English),Unit,NA Formula Number,Normwert (Quantization),Tester Display Range,System Constraints / Code Conditions
0,Leeranzeige,Leeranzeige,Empty Display / Blank Display,,16,00h,,
1,nmot,Motordrehzahl,Engine Speed,U/min,1,200,0 ... 9960 U/min,
2,rl,relative Luft f¸llung,Relative Air Charge,%,33,133,0 ... 192%,
3,rk_w,relative Kraftstoffmasse Bank i,Relative Fuel Mass Bank 1,%,33,17,0 ... 999.9%,
4,rk2_w,relative Kraftstoffmasse Bank 2,Relative Fuel Mass Bank 2,%,33,17,0 ... 999.9%,SY_STERVK=1
5,te_w,effektive Einspritzzeit Bank 1,Effective Injection Time Bank 1,ms,15,41,0 ... 100 ms,"SY_BDE=0, 0 at B_sa"
6,te2_w,eff. Einspritzz. Bank2,Effective Injection Time Bank 2,ms,15,41,0 ... 100 ms,"SY_BDE=0 & SY_STERVK=1, 0 at B_sa"
7,wakba,Drosselklappenwinkel,Throttle Valve Angle,%,33,255,0 ... 100%,
8,wped_w,Normierter Fahrpedalwinkel,Normalized Accelerator Pedal Angle,%,33,255,0 ... 100%,
9,zwout,Z¸ndwinkel,Ignition Angle,KW,27,75,-96 ... +95.25 KW,
10,mshfm_w,Luftmassenfluﬂ,Air Mass Flow (HFM),g/s,25,var,0 ... 364 g/s,SY_HFM>0
11,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 11,Unassigned RAM Address / Reserved Channel 11,,,,,
12,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 12,Unassigned RAM Address / Reserved Channel 12,,,,,
13,XXXXXXXX,"Flagregister: Bit 0: tmotlin > 80 C, Bit 1: nmot < 2000 U/min, Bit 2: wikba < 5%, Bit 3: Blr=1, Bit 4: B11=1, Bit 5: B_koe=0, Bit 6: tkatm > 350C, Bit 7: not B_syserrk","Flag Register: Bit 0: Engine Temp > 80C, Bit 1: RPM < 2000, Bit 2: Throttle Angle < 5%, Bit 3: Lambda Control Active, Bit 4: Idle Active, Bit 5: Compressor Off, Bit 6: Cat Temp > 350C, Bit 7: No System Error",Bits,16,FFh,,
14,zimot11,Motordrehzahl,Engine Speed for Idle Control,U/min,1,50,0 ... 2550 U/min,
15,nsol,Solldrehzahl,Target Engine Speed,U/min,1,50,0 ... 2550 U/min,
16,mas_w,Motorschleppmoment,Engine Drag Torque,Nm,52,,0 ... MDNORM/4,MDNORM
17,mdverb,Momentenbedarf der Nebenaggregate,Torque Requirement of Ancillary Components,%,33,255,0 ... 100%,
18,mdaverl_w,Verlustmoment,Loss Torque,%,33,255,0 ... 100%,
19,dmvad_w,Delta-Motormoment aus Verlustmomentadapt,Delta Engine Torque from Loss Torque Adaptation,%,20,25,+/- 25.0%,
20,000XXXXX,"Flagregister: Bit 0: B_koe, Bit 1: B_fa, Bit 2: B_nac, Bit 3: B_skac, Bit 5: B_afsc","Flag Register: Bit 0: Compressor Active, Bit 1: Driver Request, Bit 2: A/C Re-engagement, Bit 3: A/C Compressor Protection, Bit 5: A/C Fast Switch-off",Bits,16,1Fh,,SY_CANAC=1
21,mifab_w,begrenztes induziertes Fahrerwunschmoment,Limited Induced Driver Requested Torque,%,33,255,0 ... 100%,
